gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Cluster
0,0,0,0,56,1,No,DSL,No,Yes,Yes,Yes,No,No,Two year,1,Electronic check,115.56,7080.71,0,2
0,1,0,0,20,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),51.62,1133.97,1,0
0,0,1,0,53,1,Yes,DSL,No,No,No,No,No,No,Two year,0,Mailed check,39.76,1936.33,0,2
1,1,1,0,36,1,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,1,Mailed check,20.77,756.43,0,0
1,0,1,0,39,1,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,0,Electronic check,65.2,2579.84,0,0
0,1,0,0,19,0,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),40.03,729.73,0,0
1,0,0,0,70,1,No,DSL,Yes,Yes,No,No,No,No,Two year,0,Mailed check,82.15,5386.0,0,2
0,0,0,0,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,74.51,1351.63,0,1
0,0,0,0,43,1,No,DSL,No,Yes,Yes,No,Yes,No,Two year,0,Credit card (automatic),74.79,3417.73,0,2
1,0,0,0,55,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,63.83,3662.25,1,1
0,0,0,0,16,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,0,Electronic check,88.45,1531.7,0,2
0,0,1,1,41,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),80.25,3382.56,1,0
0,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,0,Credit card (automatic),96.16,6907.86,0,0
0,1,1,0,27,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,0,Mailed check,91.57,2363.44,1,0
0,0,1,0,20,1,No,DSL,No,No,No,Yes,No,No,Two year,1,Credit card (automatic),29.82,607.71,0,2
0,1,0,0,36,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,0,Bank transfer (automatic),116.11,3785.27,0,0
1,0,0,1,22,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),40.53,898.62,0,2
0,0,0,0,47,1,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,1,Mailed check,93.69,4328.92,1,2
1,0,0,0,58,1,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Bank transfer (automatic),96.75,5281.58,0,2
1,1,1,0,51,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),74.2,3578.51,0,0
1,0,0,0,16,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,29.27,477.42,1,0
1,0,1,1,37,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,1,Electronic check,34.47,1333.81,0,0
1,0,0,0,0,1,Yes,DSL,Yes,Yes,No,No,No,No,Two year,1,Mailed check,113.2,2022.05,0,2
0,0,1,0,32,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,1,Electronic check,65.5,2044.68,0,0
0,1,1,0,43,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,54.89,2221.12,0,2
1,0,1,0,19,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),99.02,2030.44,0,1
0,0,1,0,46,0,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,0,Electronic check,40.22,2024.29,0,2
1,0,1,0,68,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),72.44,5120.85,0,1
0,0,1,1,41,1,No,DSL,Yes,No,No,No,Yes,No,One year,1,Mailed check,70.88,3067.73,0,2
1,0,1,0,25,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),21.55,565.63,0,0
1,0,1,1,48,1,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,0,Credit card (automatic),72.5,3461.16,0,2
1,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),67.54,4709.39,1,0
0,0,1,0,17,1,No,Fiber optic,No,No,Yes,No,Yes,No,One year,1,Electronic check,87.23,1591.73,0,0
0,0,1,0,8,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Credit card (automatic),99.09,761.04,1,0
1,0,1,1,65,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,0,Mailed check,106.75,7219.9,0,0
1,1,0,1,59,1,No,DSL,No,No,No,No,No,No,Two year,1,Bank transfer (automatic),34.09,1975.09,0,2
0,0,0,0,36,1,Yes,DSL,No,No,No,No,Yes,No,One year,0,Mailed check,35.09,1183.81,0,2
0,0,0,0,46,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),108.0,5164.52,0,1
1,0,1,0,28,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,24.47,698.91,1,1
1,0,0,0,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),87.28,5686.86,0,1
1,0,1,0,14,1,Yes,DSL,No,No,No,Yes,No,Yes,Two year,1,Mailed check,78.32,1185.4,0,2
0,0,0,0,8,1,Yes,DSL,No,Yes,No,No,No,Yes,Two year,0,Credit card (automatic),85.23,683.11,0,2
1,1,1,1,65,1,Yes,DSL,No,No,No,Yes,No,No,One year,0,Credit card (automatic),116.54,8162.35,0,2
0,0,0,0,0,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,1,Mailed check,51.07,2022.05,0,0
0,0,0,0,8,1,No,DSL,No,Yes,No,Yes,No,Yes,Two year,0,Mailed check,87.96,730.16,0,2
1,0,0,1,56,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,107.61,6451.44,1,0
0,0,1,0,55,1,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,102.8,6110.33,1,2
1,0,0,1,19,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),75.1,1377.33,0,1
1,0,0,0,1,0,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,1,Bank transfer (automatic),98.31,101.45,0,0
0,0,0,1,0,1,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,1,Bank transfer (automatic),66.37,2022.05,0,2
1,0,0,0,53,1,No,Fiber optic,No,No,No,No,No,No,Two year,0,Mailed check,38.35,2097.91,0,0
0,1,0,0,18,1,Yes,DSL,No,No,Yes,Yes,No,No,One year,1,Mailed check,32.51,614.06,0,2
0,0,0,0,17,1,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,1,Electronic check,48.21,812.52,0,2
1,0,0,0,23,1,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,0,Credit card (automatic),24.56,534.92,0,0
